Product_ID,Product_Name,Brand,Category,Price,Discount_Percentage,Seller_ID,Seller_Rating,Total_Sales,Return_Rate,Seller_Verified,Customer_Reviews,Review_Sentiment,Product_Rating,Number_of_Reviews,Image_Similarity_Score,Logo_Recognition,Watermark_Detection,Manufacturing_Country,QR_Code_Availability,Reported_As_Fake_By_Users,Price_Anomaly,Keyword_Mismatch,Fraudulent_Seller_Flag,Is_Counterfeit
P0018,Adidas T-Shirt,Adidas,Accessories,62416,66,S0018,4.7,7003,0.27,Yes,Not the original product.,Neutral,1.2,520,0.3,No,Yes,Germany,Yes,470,Yes,Yes,Yes,1
P0019,Nike Shoes,Adidas,Shoes,74472,13,S0019,1.9,4043,0.48,No,Packaging looks authentic.,Neutral,1.1,90,0.08,No,Yes,China,No,383,No,Yes,No,0
P0020,Ray-Ban Sunglasses,Rolex,Electronics,62687,9,S0020,2.5,5453,0.04,No,Seller is reliable and product is genuine.,Positive,2.7,4816,0.17,No,Yes,Germany,Yes,177,No,Yes,No,1
P0021,Apple iPhone,Ray-Ban,Clothing,13484,0,S0021,2.7,999,0.18,Yes,Packaging looks authentic.,Neutral,1.3,2852,0.13,Yes,No,China,No,76,No,Yes,Yes,1
P0022,Adidas T-Shirt,Nike,Shoes,33539,4,S0022,2.8,3754,0.11,No,Worth the price.,Neutral,3.4,2844,0.12,No,No,Germany,Yes,187,Yes,No,Yes,1
P0023,Ray-Ban Sunglasses,Ray-Ban,Electronics,85931,19,S0023,3.5,8621,0.1,No,Worth the price.,Neutral,4.5,4726,0.52,Yes,No,India,Yes,479,Yes,Yes,No,1
P0024,Nike Shoes,Rolex,Accessories,84191,7,S0024,4.8,603,0.07,Yes,Definitely a counterfeit item.,Neutral,4.5,1885,0.25,Yes,No,USA,No,497,No,Yes,No,1
P0025,Nike Shoes,Adidas,Accessories,59106,42,S0025,2.0,1784,0.31,No,Cheap materials used.,Neutral,3.6,4172,0.36,No,No,India,No,14,No,Yes,No,1
P0026,Rolex Watch,Ray-Ban,Shoes,11116,0,S0026,1.5,945,0.39,Yes,Packaging looks authentic.,Neutral,1.8,926,0.99,Yes,Yes,USA,No,291,Yes,Yes,No,0
P0027,Rolex Watch,Adidas,Electronics,50572,56,S0027,1.8,3818,0.29,Yes,The logo is slightly different.,Neutral,4.5,3735,0.68,Yes,No,India,No,496,No,No,Yes,0
P0028,Apple iPhone,Nike,Shoes,25074,63,S0028,4.5,341,0.07,Yes,Satisfactory purchase.,Neutral,4.5,970,0.95,No,No,India,No,318,No,Yes,No,1
P0029,Ray-Ban Sunglasses,Adidas,Shoes,3930,27,S0029,3.6,7932,0.41,No,Worth the price.,Neutral,1.8,1095,0.14,Yes,No,China,Yes,324,Yes,No,Yes,0
P0030,Ray-Ban Sunglasses,Adidas,Electronics,13176,36,S0030,2.1,2712,0.32,Yes,Best deal in the market!,Neutral,3.9,3196,0.38,Yes,Yes,Vietnam,No,213,No,No,Yes,1
P0031,Rolex Watch,Apple,Electronics,11316,46,S0031,4.3,5899,0.19,Yes,Would not recommend this seller.,Neutral,2.1,1405,0.55,No,No,Germany,No,207,Yes,No,No,0
P0032,Ray-Ban Sunglasses,Apple,Clothing,33233,36,S0032,4.4,5064,0.34,No,Satisfactory purchase.,Negative,4.2,3365,0.08,Yes,Yes,Germany,No,168,Yes,Yes,No,0
P0033,Ray-Ban Sunglasses,Apple,Electronics,86180,48,S0033,4.4,3878,0.13,Yes,Would not recommend this seller.,Negative,5.0,4291,0.0,Yes,Yes,Germany,Yes,329,No,Yes,No,0
P0034,Nike Shoes,Adidas,Accessories,2550,43,S0034,4.7,4210,0.17,No,Worth the price.,Neutral,1.1,3983,0.67,No,Yes,USA,No,279,Yes,Yes,Yes,1
P0035,Rolex Watch,Rolex,Shoes,34433,55,S0035,2.0,211,0.46,No,Satisfactory purchase.,Neutral,4.6,4324,0.64,No,Yes,Germany,No,465,Yes,Yes,Yes,0
P0036,Adidas T-Shirt,Adidas,Shoes,25451,27,S0036,4.0,2507,0.15,No,Best deal in the market!,Neutral,3.5,4014,0.41,No,Yes,Germany,No,304,Yes,No,Yes,1
P0037,Rolex Watch,Rolex,Accessories,32913,5,S0037,2.8,1852,0.23,No,Suspicious branding on packaging.,Neutral,4.9,4557,0.49,No,No,China,Yes,145,No,No,Yes,1
P0038,Adidas T-Shirt,Rolex,Electronics,35301,60,S0038,4.4,9111,0.45,Yes,Looks fake compared to original.,Neutral,2.9,4714,0.42,Yes,No,India,Yes,262,No,Yes,No,1
P0039,Nike Shoes,Apple,Accessories,56119,19,S0039,3.9,4668,0.35,Yes,Great quality product!,Neutral,4.4,3093,0.02,Yes,Yes,Germany,No,3,No,Yes,Yes,0
P0040,Apple iPhone,Ray-Ban,Accessories,33413,1,S0040,4.1,7554,0.03,Yes,The product stopped working in 2 days.,Neutral,1.2,4160,0.34,No,Yes,Vietnam,Yes,89,Yes,Yes,Yes,0
P0041,Ray-Ban Sunglasses,Nike,Clothing,41100,36,S0041,3.6,7728,0.07,Yes,Highly recommended!,Neutral,2.3,2075,0.18,Yes,Yes,Germany,No,452,Yes,Yes,No,0
P0042,Nike Shoes,Apple,Accessories,58275,19,S0042,1.7,780,0.0,Yes,Packaging looks authentic.,Neutral,1.3,285,0.1,Yes,No,USA,Yes,59,No,Yes,Yes,1
P0043,Ray-Ban Sunglasses,Apple,Shoes,91316,25,S0043,3.2,3165,0.32,No,Looks fake compared to original.,Negative,4.9,4934,0.96,No,No,USA,No,310,No,Yes,Yes,1
P0044,Apple iPhone,Ray-Ban,Accessories,90593,28,S0044,4.9,1638,0.22,Yes,Highly recommended!,Neutral,4.3,4927,0.6,No,Yes,USA,Yes,15,Yes,Yes,No,0
P0045,Apple iPhone,Nike,Shoes,35900,0,S0045,4.7,396,0.07,Yes,Seller is reliable and product is genuine.,Neutral,4.4,1188,0.73,Yes,No,Germany,No,226,No,No,Yes,1
P0046,Nike Shoes,Adidas,Shoes,4994,34,S0046,1.2,6041,0.48,Yes,Highly recommended!,Negative,4.8,3970,0.32,No,No,China,No,473,No,No,Yes,0
P0047,Apple iPhone,Adidas,Shoes,81188,69,S0047,1.7,6449,0.26,No,Seller is reliable and product is genuine.,Negative,1.3,2966,0.39,No,Yes,Vietnam,Yes,465,No,No,Yes,0
P0048,Adidas T-Shirt,Apple,Electronics,89931,58,S0048,1.5,6411,0.12,No,Great quality product!,Neutral,2.5,4320,0.24,No,Yes,Germany,No,28,No,No,Yes,0
P0049,Apple iPhone,Nike,Clothing,75191,68,S0049,3.9,4018,0.25,Yes,Worth the price.,Neutral,1.3,784,0.1,Yes,No,China,No,150,No,Yes,No,0
P0050,Ray-Ban Sunglasses,Apple,Shoes,97919,32,S0050,4.3,2476,0.34,No,I love this product!,Neutral,1.8,950,0.18,No,No,China,No,244,Yes,Yes,Yes,1
P0051,Ray-Ban Sunglasses,Rolex,Shoes,43501,50,S0051,1.9,2292,0.04,Yes,The logo is slightly different.,Negative,1.9,3940,0.8,Yes,No,Germany,No,269,No,Yes,No,0
P0052,Ray-Ban Sunglasses,Apple,Electronics,67864,11,S0052,3.0,1866,0.14,Yes,Suspicious branding on packaging.,Neutral,2.9,45,0.68,Yes,Yes,Germany,Yes,78,No,Yes,Yes,0
P0053,Ray-Ban Sunglasses,Apple,Shoes,45528,19,S0053,4.4,7990,0.4,No,Highly recommended!,Neutral,2.1,1811,0.55,Yes,Yes,China,No,432,Yes,Yes,No,0
P0054,Adidas T-Shirt,Adidas,Accessories,98159,52,S0054,3.9,2008,0.23,No,Best deal in the market!,Neutral,1.4,4567,0.48,No,Yes,China,Yes,288,Yes,No,No,0
P0055,Rolex Watch,Adidas,Accessories,38073,42,S0055,3.2,5486,0.27,Yes,Seller is reliable and product is genuine.,Neutral,1.7,2082,0.92,No,No,China,Yes,152,Yes,Yes,No,0
P0056,Nike Shoes,Adidas,Clothing,1306,49,S0056,3.4,9438,0.22,Yes,Suspicious branding on packaging.,Neutral,1.6,3499,0.07,No,No,Germany,Yes,276,Yes,No,Yes,0
P0057,Ray-Ban Sunglasses,Rolex,Shoes,57138,28,S0057,3.0,4679,0.02,No,Highly recommended!,Neutral,4.9,830,0.28,No,Yes,China,Yes,400,No,Yes,Yes,0
P0058,Apple iPhone,Adidas,Electronics,30257,56,S0058,2.2,9352,0.08,Yes,Best deal in the market!,Neutral,4.0,1910,0.35,No,No,USA,No,278,No,No,Yes,1
P0059,Ray-Ban Sunglasses,Nike,Accessories,35136,38,S0059,3.3,4328,0.22,No,Would not recommend this seller.,Negative,4.9,2582,0.78,Yes,Yes,Germany,No,56,No,Yes,No,1
P0060,Apple iPhone,Ray-Ban,Electronics,80597,55,S0060,3.8,7074,0.1,Yes,Great quality product!,Negative,2.8,692,0.99,Yes,No,USA,Yes,490,No,No,Yes,1
P0061,Apple iPhone,Nike,Electronics,48780,42,S0061,4.5,7456,0.02,No,Seller is reliable and product is genuine.,Neutral,2.1,4020,0.24,Yes,Yes,India,No,464,Yes,Yes,Yes,1
P0062,Ray-Ban Sunglasses,Nike,Accessories,24762,49,S0062,3.5,1441,0.42,Yes,Not the original product.,Neutral,4.2,932,0.87,No,No,Germany,Yes,185,Yes,Yes,Yes,0
P0063,Adidas T-Shirt,Adidas,Electronics,80935,22,S0063,4.0,5634,0.49,Yes,Highly recommended!,Neutral,2.3,4937,0.83,Yes,No,India,No,397,No,Yes,Yes,1
P0064,Apple iPhone,Ray-Ban,Accessories,62711,43,S0064,1.6,7471,0.4,No,Worth the price.,Negative,2.2,3407,0.22,Yes,Yes,China,No,92,No,Yes,No,1
P0065,Apple iPhone,Ray-Ban,Electronics,55342,37,S0065,2.8,1829,0.43,Yes,Suspicious branding on packaging.,Neutral,1.9,148,0.4,No,Yes,China,No,275,No,No,No,1
P0066,Ray-Ban Sunglasses,Ray-Ban,Accessories,57479,22,S0066,1.0,1140,0.12,Yes,Worth the price.,Neutral,1.5,1033,0.41,No,Yes,Vietnam,Yes,157,No,Yes,Yes,0
P0067,Apple iPhone,Rolex,Shoes,81970,44,S0067,2.0,6573,0.48,No,Not the original product.,Neutral,2.0,1312,0.98,Yes,Yes,China,Yes,274,Yes,No,Yes,1
P0068,Apple iPhone,Adidas,Clothing,38697,51,S0068,3.9,2668,0.1,Yes,Seller is reliable and product is genuine.,Negative,2.4,388,0.18,Yes,Yes,India,No,180,No,Yes,Yes,1
P0069,Ray-Ban Sunglasses,Ray-Ban,Accessories,42344,49,S0069,5.0,3510,0.48,Yes,Would not recommend this seller.,Neutral,3.7,3122,0.8,No,No,China,Yes,358,Yes,No,No,0
P0070,Ray-Ban Sunglasses,Rolex,Accessories,65254,7,S0070,1.4,8576,0.5,Yes,Not the original product.,Neutral,1.3,1874,0.33,No,Yes,Germany,Yes,439,Yes,Yes,Yes,1
P0071,Nike Shoes,Apple,Clothing,34657,0,S0071,2.6,2130,0.36,No,Definitely a counterfeit item.,Neutral,1.8,3589,0.73,No,Yes,China,No,76,Yes,Yes,No,0
P0072,Adidas T-Shirt,Apple,Accessories,77629,7,S0072,4.2,4030,0.49,No,Worth the price.,Neutral,4.2,916,0.42,No,Yes,Vietnam,Yes,465,Yes,No,No,1
P0073,Adidas T-Shirt,Rolex,Accessories,40542,28,S0073,1.8,3269,0.28,No,Would not recommend this seller.,Neutral,1.6,1879,0.58,Yes,Yes,China,No,150,No,Yes,Yes,0
P0074,Apple iPhone,Rolex,Electronics,62165,4,S0074,3.2,1833,0.13,Yes,Worth the price.,Neutral,2.4,3749,0.83,Yes,Yes,India,No,445,No,Yes,Yes,1
P0075,Adidas T-Shirt,Adidas,Clothing,83356,46,S0075,3.9,1484,0.22,Yes,Would not recommend this seller.,Neutral,4.5,278,0.8,No,No,India,No,237,No,No,Yes,1
P0076,Apple iPhone,Adidas,Shoes,27876,33,S0076,3.5,2252,0.3,Yes,Great quality product!,Neutral,1.6,1978,0.87,Yes,Yes,China,Yes,288,No,Yes,No,1
P0077,Nike Shoes,Apple,Accessories,56054,64,S0077,1.8,3253,0.04,Yes,Definitely a counterfeit item.,Neutral,1.3,1860,0.06,Yes,Yes,India,No,230,Yes,No,No,0
P0078,Ray-Ban Sunglasses,Ray-Ban,Clothing,14699,54,S0078,2.4,7000,0.31,No,Not the original product.,Neutral,2.9,3037,0.69,No,Yes,India,No,487,Yes,Yes,Yes,1
P0079,Ray-Ban Sunglasses,Apple,Electronics,81912,42,S0079,4.1,5170,0.49,Yes,The logo is slightly different.,Neutral,2.2,3372,0.14,Yes,No,Vietnam,Yes,17,Yes,No,No,0
P0080,Ray-Ban Sunglasses,Ray-Ban,Shoes,51448,29,S0080,3.2,3144,0.1,Yes,The product stopped working in 2 days.,Neutral,3.3,4714,0.42,Yes,No,Germany,Yes,72,No,No,Yes,0
P0081,Adidas T-Shirt,Ray-Ban,Clothing,74281,16,S0081,1.0,2080,0.4,Yes,Best deal in the market!,Neutral,4.2,2183,0.55,Yes,Yes,Vietnam,Yes,416,Yes,No,Yes,0
P0082,Nike Shoes,Adidas,Shoes,73250,25,S0082,4.0,369,0.45,No,Packaging looks authentic.,Neutral,1.5,4676,0.4,No,Yes,USA,Yes,415,Yes,No,No,0
P0083,Adidas T-Shirt,Nike,Shoes,66762,7,S0083,1.1,1151,0.47,Yes,Looks fake compared to original.,Neutral,3.3,1171,0.52,No,No,Vietnam,No,188,Yes,Yes,No,1
P0084,Adidas T-Shirt,Nike,Shoes,47100,46,S0084,4.0,1645,0.48,Yes,Looks fake compared to original.,Negative,3.0,490,1.0,Yes,No,China,Yes,437,Yes,Yes,No,1
P0085,Nike Shoes,Rolex,Accessories,77398,45,S0085,1.8,4010,0.26,Yes,Looks fake compared to original.,Neutral,1.6,2526,0.14,No,No,Germany,Yes,16,No,No,No,1
P0086,Nike Shoes,Adidas,Accessories,62983,67,S0086,4.8,3371,0.49,Yes,Cheap materials used.,Negative,3.5,1183,0.68,No,Yes,China,Yes,18,Yes,Yes,Yes,0
P0087,Nike Shoes,Ray-Ban,Electronics,18797,32,S0087,2.5,6593,0.38,Yes,Looks fake compared to original.,Negative,2.1,4480,0.4,No,Yes,USA,Yes,218,Yes,Yes,Yes,1
P0088,Nike Shoes,Nike,Electronics,30948,0,S0088,2.3,7845,0.08,No,The product stopped working in 2 days.,Negative,3.0,4259,0.13,Yes,No,Germany,No,325,No,Yes,Yes,0
P0089,Ray-Ban Sunglasses,Ray-Ban,Clothing,26672,18,S0089,1.6,16,0.24,Yes,Seller is reliable and product is genuine.,Neutral,1.3,2489,0.16,Yes,Yes,India,Yes,482,No,No,No,0
P0090,Rolex Watch,Nike,Electronics,43374,30,S0090,2.2,3277,0.36,Yes,Looks fake compared to original.,Neutral,2.8,1877,0.95,No,No,Vietnam,No,119,No,Yes,Yes,0
P0091,Rolex Watch,Nike,Shoes,8157,13,S0091,4.5,6574,0.12,Yes,The logo is slightly different.,Neutral,2.2,2463,0.88,Yes,No,China,Yes,100,Yes,Yes,No,1
P0092,Nike Shoes,Nike,Shoes,84886,52,S0092,5.0,9793,0.32,Yes,Not the original product.,Neutral,4.3,1631,0.91,Yes,No,USA,No,33,Yes,No,No,1
P0093,Rolex Watch,Adidas,Accessories,25925,47,S0093,2.5,4938,0.33,Yes,Packaging looks authentic.,Neutral,1.2,288,0.99,Yes,Yes,India,No,83,Yes,Yes,No,0
P0094,Rolex Watch,Apple,Shoes,27185,68,S0094,2.8,2616,0.08,Yes,I love this product!,Neutral,2.7,4283,0.21,Yes,No,Vietnam,Yes,408,Yes,No,Yes,1
P0095,Nike Shoes,Ray-Ban,Clothing,25078,61,S0095,3.9,5916,0.28,Yes,The product stopped working in 2 days.,Neutral,2.8,1908,0.36,Yes,No,India,No,195,No,No,No,1
P0096,Rolex Watch,Adidas,Shoes,29331,65,S0096,4.5,3283,0.39,Yes,The logo is slightly different.,Neutral,3.9,1162,0.67,No,Yes,Vietnam,Yes,329,Yes,No,No,0
P0097,Adidas T-Shirt,Adidas,Shoes,8406,63,S0097,3.4,7621,0.25,Yes,Seller is reliable and product is genuine.,Neutral,3.3,130,0.48,Yes,No,Germany,No,201,Yes,Yes,No,0
P0098,Apple iPhone,Adidas,Clothing,61913,69,S0098,2.6,923,0.01,Yes,Not the original product.,Negative,3.7,2364,0.42,Yes,Yes,India,No,343,No,Yes,No,1
P0099,Apple iPhone,Adidas,Electronics,54528,62,S0099,2.7,2021,0.0,No,Would not recommend this seller.,Neutral,4.1,144,0.36,Yes,No,India,No,340,No,No,No,0
P0100,Nike Shoes,Adidas,Electronics,7787,32,S0100,3.8,1452,0.18,No,The logo is slightly different.,Neutral,4.4,16,0.59,No,Yes,India,Yes,10,No,No,No,0
P0101,Ray-Ban Sunglasses,Rolex,Clothing,34160,40,S0101,1.0,5556,0.46,No,Best deal in the market!,Neutral,2.3,245,0.58,No,No,Germany,No,346,Yes,No,No,1
P0102,Nike Shoes,Ray-Ban,Accessories,76258,47,S0102,3.5,1839,0.11,No,The logo is slightly different.,Negative,3.2,927,0.16,No,No,USA,Yes,399,Yes,No,No,1
P0103,Ray-Ban Sunglasses,Adidas,Shoes,61004,12,S0103,2.4,8777,0.32,Yes,Cheap materials used.,Neutral,4.4,3179,0.47,Yes,No,Vietnam,No,217,Yes,No,No,0
P0104,Apple iPhone,Ray-Ban,Clothing,60220,30,S0104,4.2,6478,0.11,No,Suspicious branding on packaging.,Neutral,5.0,2177,0.55,No,No,India,No,444,Yes,No,No,1
P0105,Nike Shoes,Rolex,Shoes,35201,67,S0105,1.4,939,0.16,No,The logo is slightly different.,Neutral,4.6,887,0.57,No,No,Germany,No,252,Yes,Yes,No,0
P0106,Adidas T-Shirt,Rolex,Accessories,83800,3,S0106,3.4,3709,0.42,Yes,Best deal in the market!,Neutral,2.5,341,0.21,No,Yes,USA,No,221,No,No,No,0
P0107,Rolex Watch,Ray-Ban,Shoes,18174,18,S0107,2.9,9665,0.36,No,Best deal in the market!,Negative,1.8,2052,0.74,No,Yes,Vietnam,No,382,No,No,Yes,1
P0108,Ray-Ban Sunglasses,Nike,Clothing,84060,69,S0108,3.6,1064,0.05,No,Seller is reliable and product is genuine.,Neutral,3.0,3399,0.03,Yes,No,Germany,No,368,Yes,No,Yes,0
P0109,Rolex Watch,Apple,Shoes,24374,12,S0109,1.3,5754,0.21,Yes,Seller is reliable and product is genuine.,Neutral,4.0,3951,0.35,No,No,Vietnam,Yes,79,Yes,Yes,No,0
P0110,Rolex Watch,Nike,Electronics,44142,22,S0110,3.3,1910,0.01,Yes,Definitely a counterfeit item.,Negative,3.0,306,0.78,No,No,India,Yes,6,Yes,Yes,No,0
P0111,Nike Shoes,Nike,Accessories,98320,0,S0111,3.2,9659,0.24,Yes,Not the original product.,Neutral,2.9,908,0.56,Yes,Yes,USA,Yes,271,Yes,Yes,No,1
P0112,Rolex Watch,Nike,Accessories,65660,53,S0112,3.2,6990,0.33,No,The product stopped working in 2 days.,Neutral,4.4,2655,0.26,Yes,Yes,Germany,No,226,Yes,Yes,Yes,1
P0113,Adidas T-Shirt,Adidas,Accessories,18102,14,S0113,3.4,7079,0.06,No,Great quality product!,Neutral,2.4,3793,0.69,No,No,USA,Yes,15,No,No,Yes,1
P0114,Rolex Watch,Rolex,Clothing,89301,64,S0114,3.7,9601,0.14,Yes,The product stopped working in 2 days.,Neutral,4.4,4043,0.57,Yes,Yes,India,No,423,No,Yes,Yes,0
P0115,Nike Shoes,Nike,Accessories,26431,14,S0115,4.2,3425,0.2,Yes,Great quality product!,Neutral,2.6,1372,0.8,No,No,USA,Yes,11,No,No,No,0
P0116,Adidas T-Shirt,Rolex,Electronics,94877,20,S0116,2.1,452,0.46,No,Worth the price.,Neutral,2.3,321,0.74,Yes,No,USA,Yes,290,Yes,No,No,1
P0117,Apple iPhone,Ray-Ban,Clothing,29692,18,S0117,4.3,6228,0.5,Yes,Cheap materials used.,Neutral,2.8,4655,0.61,Yes,No,China,No,240,Yes,No,No,1
P0118,Rolex Watch,Apple,Electronics,47042,59,S0118,3.0,4662,0.02,No,Would not recommend this seller.,Neutral,4.0,4060,0.49,No,Yes,USA,No,20,No,No,No,1
P0119,Nike Shoes,Ray-Ban,Shoes,43020,32,S0119,1.3,7949,0.38,Yes,Not the original product.,Positive,1.5,1132,0.13,Yes,No,Vietnam,Yes,177,No,No,Yes,0
P0120,Apple iPhone,Ray-Ban,Shoes,65272,48,S0120,1.2,7843,0.19,Yes,Highly recommended!,Neutral,1.8,2579,0.26,No,No,Germany,Yes,426,Yes,No,No,1
P0121,Apple iPhone,Adidas,Shoes,59262,34,S0121,2.3,9380,0.2,No,Suspicious branding on packaging.,Neutral,4.8,4043,0.42,Yes,No,China,Yes,227,No,Yes,Yes,0
P0122,Ray-Ban Sunglasses,Apple,Shoes,50606,43,S0122,4.1,7607,0.38,Yes,Seller is reliable and product is genuine.,Neutral,1.7,3368,0.6,No,Yes,Germany,Yes,495,No,Yes,Yes,1
P0123,Adidas T-Shirt,Ray-Ban,Electronics,81621,10,S0123,3.8,4468,0.46,Yes,Not the original product.,Neutral,3.3,818,0.51,Yes,Yes,Germany,No,272,Yes,Yes,No,0
P0124,Rolex Watch,Ray-Ban,Clothing,26059,65,S0124,4.2,6601,0.48,Yes,Worth the price.,Positive,3.3,12,0.29,Yes,Yes,India,Yes,287,No,Yes,Yes,0
P0125,Nike Shoes,Apple,Clothing,34242,45,S0125,3.1,9459,0.29,No,Seller is reliable and product is genuine.,Neutral,3.0,195,0.01,Yes,No,India,No,296,No,Yes,Yes,1
P0126,Ray-Ban Sunglasses,Apple,Accessories,70169,8,S0126,2.8,2319,0.18,Yes,Worth the price.,Neutral,3.6,2538,0.5,Yes,Yes,China,No,133,No,No,Yes,0
P0127,Adidas T-Shirt,Ray-Ban,Electronics,80699,2,S0127,1.6,6278,0.39,Yes,Looks fake compared to original.,Neutral,1.9,2843,0.29,Yes,No,India,Yes,471,Yes,Yes,Yes,1
P0128,Ray-Ban Sunglasses,Apple,Shoes,22254,25,S0128,2.3,920,0.13,Yes,Packaging looks authentic.,Neutral,3.2,2230,0.73,No,Yes,India,No,282,No,Yes,No,0
P0129,Adidas T-Shirt,Ray-Ban,Electronics,4472,47,S0129,2.7,4350,0.28,Yes,Not the original product.,Neutral,2.5,3010,0.02,Yes,No,India,Yes,403,No,Yes,No,0
P0130,Adidas T-Shirt,Ray-Ban,Accessories,71331,65,S0130,1.4,4019,0.18,Yes,The logo is slightly different.,Neutral,3.6,4752,0.58,No,Yes,Germany,No,152,No,No,Yes,1
P0131,Rolex Watch,Adidas,Accessories,42373,69,S0131,1.9,6638,0.33,Yes,Best deal in the market!,Positive,1.6,2078,0.94,No,No,China,No,65,Yes,No,No,0
P0132,Adidas T-Shirt,Nike,Electronics,95161,27,S0132,3.4,2179,0.12,No,Seller is reliable and product is genuine.,Neutral,3.3,3868,0.17,No,Yes,Germany,Yes,136,Yes,No,Yes,1
P0133,Ray-Ban Sunglasses,Ray-Ban,Electronics,10403,25,S0133,3.9,2182,0.1,No,Suspicious branding on packaging.,Neutral,1.7,4874,0.47,Yes,Yes,Vietnam,No,91,No,Yes,No,1
P0134,Adidas T-Shirt,Rolex,Electronics,3520,24,S0134,5.0,5678,0.46,Yes,Great quality product!,Negative,2.1,444,0.09,No,Yes,Germany,No,436,Yes,Yes,No,1
P0135,Rolex Watch,Nike,Clothing,42255,11,S0135,4.7,6323,0.05,No,Not the original product.,Neutral,1.9,298,0.63,Yes,No,Vietnam,Yes,316,No,Yes,No,0
P0136,Rolex Watch,Nike,Shoes,86456,4,S0136,3.6,8325,0.25,No,Satisfactory purchase.,Negative,1.7,4904,0.55,No,Yes,USA,No,421,Yes,Yes,No,0
P0137,Ray-Ban Sunglasses,Nike,Electronics,87488,47,S0137,2.7,8046,0.11,Yes,The logo is slightly different.,Positive,4.3,845,0.41,No,Yes,USA,No,258,Yes,Yes,No,0
P0138,Apple iPhone,Adidas,Electronics,46148,36,S0138,3.5,6799,0.02,No,The logo is slightly different.,Neutral,2.1,1016,0.52,No,Yes,Vietnam,Yes,467,No,No,Yes,1
